Web of science search,Initials ,FRED? (y/n),Warming experiment? (y/n),Should be in Warming dataset? (y/n),Should be in FRED? (y/n),In SH thesis (y/n),Data Extracted?,Which Protocol?,Rationale for exclusion from AU warming database,Data source,Entered in FRED?,2025 Notes,Initials,Notes,Experiment or Gradient (Selena),Species (Selena),Traits (Selena),Notes (Selena),Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISSN,eISSN,Publication Date,Publication Year,Volume,Issue,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,UT (Unique WOS ID)
WOS2020,RL,n,n,y,y,n,complete ,"Claude: Fig 1-5, Table 1-5",,Not found,"mandatory fields and graphs (fig 3 fine roots, fig 4 fine roots) entered except for collection method, coordinates
not entered (climate related): F01220, F01219
not all ancilllary data entered",arctic,MY,"Root biomass etc, factorial fertilizer addition, air warming, and shading",,,,,J,"Jonasson, S; Michelsen, A; Schmidt, IK; Nielsen, EV",,,,"Jonasson, S; Michelsen, A; Schmidt, IK; Nielsen, EV",,,"Responses in microbes and plants to changed temperature, nutrient, and light regimes in the arctic",ECOLOGY,"Previous research has shown that experimental perturbations of arctic ecosystems simulating direct and indirect effects of predicted environmental changes have led to strong responses in the plant communities, mostly associated with increased plant nutrient availability. Similarly, changes in decomposition and nutrient mineralization are likely to occur if the soil warms and the soil moisture conditions are altered. Plant and microbial responses have usually been investigated separately, and few, if any, studies have addressed simultaneous responses to environmental changes in plants and soil microorganisms, except in models. We measured simultaneous responses in biomass, nitrogen (N), and phosphorus (P) incorporation in plants and microorganisms after five years of factorial fertilizer addition, air warming, and shading. We expected increased N and P uptake by microorganisms after fertilizer addition but less after warming, soils. Plant productivity and N and P uptake were expected to increase after fertilizer addition but less after warming, because microbes were expected to absorb most of the extra released nutrients. Shading was expected to decrease plant production and also microbial biomass, due to the reduced production of labile carbon (C) in plant root exudates associated with reduced photosynthesis. We found that the plants responded strongly to fertilizer addition by increased biomass accumulation and N and P uptake. They responded less to warming, but more than expected, showing a decline in N and P concentrations in many cases. There were few significant responses to shading. The strongest response was found in combined fertilizer addition and warming treatments. All functional vascular plant groups responded similarly. However, mosses declined under those conditions when vascular plant growth was most pronounced. Contrary to our expectation, microbial C, N, and P did not increase after warming, but microbial N and P increased after shading. As expected, fertilizer addition led to increased microbial P content, whereas microbial N either increased or did not change. In general, microbial C did not change in any treatment. The microbes accumulated extra N and P only when soil inorganic N or P levels increased, suggesting that the soil microorganisms absorbed extra nutrients only in cases of declining N and P sink strength in plants.",,,,"Michelsen, Anders/L-5279-2014; Schmidt, Inger K/A-6230-2015","Michelsen, Anders/0000-0002-9541-8658; Schmidt, Inger K/0000-0003-3880-2060",,,,,,,,,,,,0012-9658,,0012-9658,,SEP,1999,80,6,1828,1843,,10.2307/176661,,,WOS:000082408300004
WOS2020,ES,n,n,y,for FRED temporal,n,complete ,"Claude - Fig 4-7, Table 1","biomass C (stand, foliage, roots) not found in FRED",Not found,for FRED temporal,interior Alaska,MY,"temperature gradient, root biomass",,,,,J,"Kane, ES; Vogel, JG",,,,"Kane, E. S.; Vogel, J. G.",,,Patterns of Total Ecosystem Carbon Storage with Changes in Soil Temperature in Boreal Black Spruce Forests,ECOSYSTEMS,"To understand how carbon (C) pools in boreal ecosystems may change with warming, we measured above- and belowground C pools and C increment along a soil temperature gradient across 16 mature upland black spruce (Picea mariana Mill. [B center dot S.P]) forests in interior Alaska. Total spruce C stocks (stand and root C) increased from 1.3 to 8.5 kg C m(-2) with increasing soil summed degree-days (SDD > 0A degrees C at 10 cm) across sites, whereas soil C stocks decreased from 11.9 to 6.3 kg C m(-2) with increasing SDD. Spruce C and organic soil C, which combined represent maximum C accrual since the last fire, increased with soil heat sums until 600 SDD, and then plateaued with increasing SDD across sites (R (2) = 0.61, P = 0.002; second-order polynomial regression). The sum of soil and total spruce C (total ecosystem C, TEC) reached its maximum in the middle-range of soil temperatures measured (approximately 600 SDD), and was lower in the coolest (139 SDD) and the warmest (914 SDD) forests. The opposing trends between above- and belowground pools resulted in C shifting from the soil to spruce biomass with warmer soil temperatures. A shift in C distribution from below- to aboveground pools, as temperature increases, has implications for the vulnerability of C lost in boreal forest wildfires. The strongly negative relationship between surface mineral soil C stocks and increasing temperatures warrants further research into the potential loss of deep mineral soil C stocks with continued warming, especially in forests presently underlain with permafrost.",,,,,,,,,,,,,,,,,1432-9840,1435-0629,1432-9840,1435-0629,FEB,2009,12,2,322,335,,10.1007/s10021-008-9225-1,,,WOS:000263672100010
WOS2020,GB-W,n,n,y,y,n,complete (since there's DOI),NA,,"https://doi.org/10.1038/
s41561-020-0607-0","mandatory fields and graphs (fig 1) entered except for collection method, coordinates
not entered (climate related): F01220, F01219
not all ancillary data entered",arctic,MY,"difficult to get the root data out here, I think. But this will follow!",,,,priming and root respiration,J,"Keuper, F; Wild, B; Kummu, M; Beer, C; Blume-Werry, G; Fontaine, S; Gavazov, K; Gentsch, N; Guggenberger, G; Hugelius, G; Jalava, M; Koven, C; Krab, EJ; Kuhry, P; Monteux, S; Richter, A; Shahzad, T; Weedon, JT; Dorrepaal, E",,,,"Keuper, Frida; Wild, Birgit; Kummu, Matti; Beer, Christian; Blume-Werry, Gesche; Fontaine, Sebastien; Gavazov, Konstantin; Gentsch, Norman; Guggenberger, Georg; Hugelius, Gustaf; Jalava, Mika; Koven, Charles; Krab, Eveline J.; Kuhry, Peter; Monteux, Sylvain; Richter, Andreas; Shahzad, Tanvir; Weedon, James T.; Dorrepaal, Ellen",,,Carbon loss from northern circumpolar permafrost soils amplified by rhizosphere priming,NATURE GEOSCIENCE,"As global temperatures continue to rise, a key uncertainty of climate projections is the microbial decomposition of vast organic carbon stocks in thawing permafrost soils. Decomposition rates can accelerate up to fourfold in the presence of plant roots, and this mechanism-termed the rhizosphere priming effect-may be especially relevant to thawing permafrost soils as rising temperatures also stimulate plant productivity in the Arctic. However, priming is currently not explicitly included in any model projections of future carbon losses from the permafrost area. Here, we combine high-resolution spatial and depth-resolved datasets of key plant and permafrost properties with empirical relationships of priming effects from living plants on microbial respiration. We show that rhizosphere priming amplifies overall soil respiration in permafrost-affected ecosystems by similar to 12%, which translates to a priming-induced absolute loss of similar to 40 Pg soil carbon from the northern permafrost area by 2100. Our findings highlight the need to include fine-scale ecological interactions in order to accurately predict large-scale greenhouse gas emissions, and suggest even tighter restrictions on the estimated 200 Pg anthropogenic carbon emission budget to keep global warming below 1.5 degrees C.",,,,"Wild, Birgit/E-6476-2012; Kummu, Matti/C-4797-2011; Monteux, Sylvain/W-4957-2019; Gavazov, Konstantin/E-9628-2013; Beer, Christian/D-2296-2013; Richter, Andreas/D-8483-2012; Hugelius, Gustaf/ABF-7902-2020; Weedon, James/C-5473-2008","Wild, Birgit/0000-0002-9611-0815; Kummu, Matti/0000-0001-5096-0163; Monteux, Sylvain/0000-0001-9923-2036; Gavazov, Konstantin/0000-0003-4479-7202; Beer, Christian/0000-0002-5377-3344; Richter, Andreas/0000-0003-3282-4808; Hugelius, Gustaf/0000-0002-8096-1594; Krab, Eveline/0000-0001-8262-0198; Weedon, James/0000-0003-0491-8719",,,,,,,,,,,,1752-0894,1752-0908,1752-0894,1752-0908,AUG,2020,13,8,560,+,,10.1038/s41561-020-0607-0,,JUL 2020,WOS:000550620700001
WOS2020,RL,n,n,y,y,n,complete,"PlotDigitizer: Fig 2, 3, 4
ChatGPT: Table 2, 3",,Not found,"mandatory fields and graphs (fig 3 root) entered except for collection method
not entered (climate related): F01220, F01219
total root production, net root production, total root mortality for FRED temporal",,MY,"Pot experiment, different soil temperatures",,,"root length, biomass",,J,"King, JS; Pregitzer, KS; Zak, DR",,,,"King, JS; Pregitzer, KS; Zak, DR",,,Clonal variation in above- and below-ground growth responses of Populus tremuloides Michaux: Influence of soil warming and nutrient availability,PLANT AND SOIL,"Trembling aspen (Populus tremuloides Michx.) is the most widely distributed tree species in North America making it important to terrestrial carbon and nutrient cycles. Due to anthropogenic climate change high latitude temperatures are expected to increase, making it necessary to assess the feedback between above- and below-ground carbon pools to increased temperature at sites of both high and low N-availability. We grew four clones of aspen at two levels of soil temperature and two levels of soil N-availability for 98 days and quantified photosynthesis, growth, biomass allocation, and root length production and mortality. High soil temperature increased rates of photosynthesis (65%), resulting in greater whole-plant growth (37%) through increases in roots, stems, and foliage; however these increases generally occurred only in soil of high N-availability. Root:shoot biomass allocation varied between clones but was unaffected by the soil temperature or N-availability treatments. Root length production and mortality increased at elevated soil temperature, but this response was modified by soil N-availability. At high soil temperature, soil N-availability had little effect on root dynamics, while at low soil temperature, high soil N-availability increased both the production and mortality (turnover) of roots. We conclude that trembling aspen has the potential for substantially greater growth and root turnover under conditions of warmer soil at sites of both high and low N-availability, but that allometric patterns of growth are under strong genetic, rather than environmental control.",,,,"Zak, Donald R/C-6004-2012","Zak, Donald/0000-0002-9730-7337",,,,,,,,,,,,0032-079X,,0032-079X,,,1999,217,1-2,119,130,,10.1023/A:1004560311563,,,WOS:000084532600011
WOS2020,AML,n,n,y,y,n,complete,"PlotDigitizer: Fig 2, 4, 7, 8",,Not found,"mandatory fields and graphs (table 1) entered except for collection method
not entered (climate related): F01220, F01219",Qinghai-Tibet Plateau,MY,,experimental warming,,"plant biomass, root oc, tn",,J,"Li, N; Wang, GX; Yang, Y; Gao, YH; Liu, GS",,,,Li Na; Wang Genxu; Yang Yan; Gao Yongheng; Liu Guangsheng,,,"Plant production, and carbon and nitrogen source pools, are strongly intensified by experimental warming in alpine ecosystems in the Qinghai-Tibet Plateau",SOIL BIOLOGY & BIOCHEMISTRY,"The aim of this study was to assess initial effects of warming on the nutrient pools of carbon and nitrogen of two most widespread ecosystem types, swamp meadow and alpine meadow, in the Qinghai-Tibet Plateau, China. The temperature of the air and upper-soil layer was passively increased using open-top chambers (OTCs) with two different temperature elevations. We analyzed air and soil temperature, soil moisture. biomass, microbial biomass, and nutrient dynamics after 2 years of warming. The use of OTCs clearly raised temperature and decreased soil moisture. The aboveground plant and root biomass increased in all OTCs in two meadows. A small temperature increase in OTCs resulted in swamp meadow acting as a net carbon sink and alpine meadow as a net source, and further warming intensified this processes, at least in a short term. On balance, the alpine ecosystems in the Fenghuoshan region acted as a carbon source. (C) 2011 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,0038-0717,,0038-0717,,MAY,2011,43,5,942,953,,10.1016/j.soilbio.2011.01.009,,,WOS:000289219500010
WOS2020,AM,n,n,y,for FRED temporal,n,complete,PlotDigitizer: Fig  2,belowground net primary productivity not found in FRED,Not found,for FRED temporal,Tibetan Plateau,MY,bnpp,warming exp,,vertical root distrib,,J,"Liu, HY; Mi, ZR; Lin, L; Wang, YH; Zhang, ZH; Zhang, FW; Wang, H; Liu, LL; Zhu, BA; Cao, GM; Zhao, XQ; Sanders, NJ; Classen, AT; Reich, PB; He, JS",,,,"Liu, Huiying; Mi, Zhaorong; Lin, Li; Wang, Yonghui; Zhang, Zhenhua; Zhang, Fawei; Wang, Hao; Liu, Lingli; Zhu, Biao; Cao, Guangmin; Zhao, Xinquan; Sanders, Nathan J.; Classen, Aimee T.; Reich, Peter B.; He, Jin-Sheng",,,Shifting plant species composition in response to climate change stabilizes grassland primary production,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"The structure and function of alpine grassland ecosystems, including their extensive soil carbon stocks, are largely shaped by temperature. The Tibetan Plateau in particular has experienced significant warming over the past 50 y, and this warming trend is projected to intensify in the future. Such climate change will likely alter plant species composition and net primary production (NPP). Here we combined 32 y of observations and monitoring with a manipulative experiment of temperature and precipitation to explore the effects of changing climate on plant community structure and ecosystem function. First, long-term climate warming from 1983 to 2014, which occurred without systematic changes in precipitation, led to higher grass abundance and lower sedge abundance, but did not affect aboveground NPP. Second, an experimental warming experiment conducted over 4 y had no effects on any aspect of NPP, whereas drought manipulation (reducing precipitation by 50%), shifted NPP allocation belowground without affecting total NPP. Third, both experimental warming and drought treatments, supported by a meta-analysis at nine sites across the plateau, increased grass abundance at the expense of biomass of sedges and forbs. This shift in functional group composition led to deeper root systems, which may have enabled plant communities to acquire more water and thus stabilize ecosystem primary production even with a changing climate. Overall, our study demonstrates that shifting plant species composition in response to climate change may have stabilized primary production in this high-elevation ecosystem, but it also caused a shift from aboveground to belowground productivity.",,,,"Classen, Aimee/X-2984-2019; Sanders, Nathan/ABE-4335-2020; Zhu, Biao/F-8712-2010; Classen, Aimee T/C-4035-2008; Wang, Hao/AAD-6541-2020; Liu, Lingli/A-7771-2008; He, Jin-Sheng/A-4053-2009","Classen, Aimee T/0000-0002-6741-3470; Liu, Lingli/0000-0002-5696-3151; He, Jin-Sheng/0000-0001-5081-3569; Wang, Hao/0000-0001-9115-1290; liu, huiying/0000-0001-8903-6103",,,,,,,,,,,,0027-8424,,0027-8424,,APR 17,2018,115,16,4051,4056,,10.1073/pnas.1700299114,,,WOS:000430191900046
WOS2020,RL,n,n,n,n,n,complete - no relevant graphs to extract from,NA,"No relevant graphs/tables to extract from, mostly about OTU",Not found,NA,Arctic,MY,"root fungal community, Cassiope tetragona (Ericaceae), Svalbard",experimental warming,,mycorrhizal,,J,"Lorberau, KE; Botnen, SS; Mundra, S; Aas, AB; Rozema, J; Eidesen, PB; Kauserud, H",,,,"Lorberau, Kelsey Erin; Botnen, Synnove Smebye; Mundra, Sunil; Aas, Anders Bjornsgaard; Rozema, Jelte; Eidesen, Pernille Bronken; Kauserud, Havard",,,Does warming by open-top chambers induce change in the root-associated fungal community of the arctic dwarf shrub Cassiope tetragona (Ericaceae)?,MYCORRHIZA,"Climate change may alter mycorrhizal communities, which impact ecosystem characteristics such as carbon sequestration processes. These impacts occur at a greater magnitude in Arctic ecosystems, where the climate is warming faster than in lower latitudes. Cassiope tetragona (L.) D. Don is an Arctic plant species in the Ericaceae family with a circumpolar range. C. tetragona has been reported to form ericoid mycorrhizal (ErM) as well as ectomycorrhizal (ECM) symbioses. In this study, the fungal taxa present within roots of C. tetragona plants collected from Svalbard were investigated using DNA metabarcoding. In light of ongoing climate change in the Arctic, the effects of artificial warming by open-top chambers (OTCs) on the fungal root community of C. tetragona were evaluated. We detected only a weak effect of warming by OTCs on the root-associated fungal communities that was masked by the spatial variation between sampling sites. The root fungal community of C. tetragona was dominated by fungal groups in the Basidiomycota traditionally classified as either saprotrophic or ECM symbionts, including the orders Sebacinales and Agaricales and the genera Clavaria, Cortinarius, and Mycena. Only a minor proportion of the operational taxonomic units (OTUs) could be annotated as ErM-forming fungi. This indicates that C. tetragona may be forming mycorrhizal symbioses with typically ECM-forming fungi, although no characteristic ECM root tips were observed. Previous studies have indicated that some saprophytic fungi may also be involved in biotrophic associations, but whether the saprotrophic fungi in the roots of C. tetragona are involved in biotrophic associations remains unclear. The need for more experimental and microscopy-based studies to reveal the nature of the fungal associations in C. tetragona roots is emphasized.",,,,"Rozema, Jos/B-1446-2013; Mundra, Sunil/H-8642-2016","Rozema, Jos/0000-0001-8124-8646; Botnen, Synnove Smebye/0000-0001-5511-9189; Mundra, Sunil/0000-0002-0535-118X; Lorberau, Kelsey/0000-0001-7115-4750",,,,,,,,,,,,0940-6360,1432-1890,0940-6360,1432-1890,JUL,2017,27,5,513,524,,10.1007/s00572-017-0767-y,,,WOS:000403452500009
WOS2020,AML,n,y,n,for FRED 5.0,n,complete,NA (since this is for FRED 5.0),no experimental warming or gradient,Not found,NA,"alpine tundra, talked about climate warming but no actual warming by gradient/experiment",MY,"trees, arctic?","pine invasion (pine, invaded, tundra)",,fine root mass,,J,"Makoto, K; Bryanin, SV; Lisovsky, VV; Kushida, K; Wada, N",,,,"Makoto, Kobayashi; Bryanin, S. V.; Lisovsky, V. V.; Kushida, K.; Wada, N.",,,Dwarf pine invasion in an alpine tundra of discontinuous permafrost area: effects on fine root and soil carbon dynamics,TREES-STRUCTURE AND FUNCTION,"Climate warming may directly and indirectly affect the large carbon stock in discontinuous permafrost soil at high latitudes. In recent decades, Siberian dwarf pine [Pinus pumila (Pall.) Regel] has been invading dry heath alpine tundra in the northern Amur region of Far East Russia. Siberian dwarf pine is known to have high aboveground productivity, comparable to that of tall coniferous trees. We hypothesised that the invasion of Siberian dwarf pine into alpine tundra could increase soil carbon stocks via an increase in fine roots. Contrary to our expectations, the invasion of dwarf pine did not significantly increase the fine root biomass and productivity of the tundra, probably due to the belowground competitive exclusion between the dwarf pine and alpine tundra plants. Furthermore, the invasion of the dwarf pine did not affect soil carbon in the alpine tundra ecosystem. These results show that the recent invasion of Siberian dwarf pine into tundra did not influence the fine root dynamics or the soil carbon stock in the study site. Together, these results implied that (1) it takes a long time for pine invasion to change the belowground ecosystem properties of tundra vegetation to that of pine thickets and therefore (2) the lack of an increase in soil carbon from recent tree invasion should be taken into account when modelling future carbon dynamics in alpine tundra.",,,,"Kushida, Keiji/G-1022-2012; Bryanin, Semyon/G-2303-2012","Bryanin, Semyon/0000-0002-2227-5254",,,,,,,,,,,,0931-1890,1432-2285,0931-1890,1432-2285,APR,2016,30,2,431,439,,10.1007/s00468-015-1192-5,,,WOS:000373645400010
WOS2020,VS,n,n,y,y,n,complete,"PlotDigitizer: Fig 2, 3",,Not found,"mandatory fields and graphs (fig 3 SRT, fine root biomass) entered except for collection method
not entered (climate related): F01220, F01219",,MY,SRL of fine roots in Figure 3,snow accumulation gradient,,,"northern Japan, mid-altitude alpine",J,"Makoto, K; Kudo, G",,,,"Makoto, Kobayashi; Kudo, Gaku",,,Intraspecific differentiation in the root system of Potentilla matsumurae along a snow accumulation gradient in mid-altitude alpine environment,ARCTIC ANTARCTIC AND ALPINE RESEARCH,"Despite its importance for plant survival in cold biomes, little is known about the variation in the morphological traits of root systems of alpine plants. In this study, we investigated the difference in biomass allocation and morphological traits of belowground organs ofPotentilla matsumuraebetween snowbeds and fellfields in an alpine tundra in northern Japan. The fellfields were characterized to have drier, colder, and less fertile conditions with more soil freeze-thaw cycles and longer growing seasons than snowbeds. The allocation to the aboveground part relative to the root system was significantly higher in the fellfields than in the snowbeds. The allocation to the root system relative to the aboveground part was significantly lower in the fellfields than in the snowbeds. For the morphological traits of fine roots, the specific root length and the root tip density were smaller in the fellfields than in the snowbeds. Together, distinct intraspecific differentiation of biomass allocation and morphological traits in the root system was found forP. matsumuraebetween the snowbed and fellfields populations in an alpine ecosystem. The distinct variation in root morphology could makeP. matsumuraegrow across the sharp gradient of snow conditions in alpine environments.",,,,"Kudo, Gaku/A-2733-2015","Kudo, Gaku/0000-0002-6488-818X",,,,,,,,,,,,1523-0430,1938-4246,1523-0430,1938-4246,JAN 1,2020,52,1,408,415,,10.1080/15230430.2020.1794099,,,WOS:000560893200001
WOS2020,ES,n,y,y,y,n,complete,PlotDigitizer: Fig 2,no relevant root traits for FRED,Not found,NA,Alaska,MY,Air warming acheived with open top chambers. Root respiration was estimated via a treatment with root exclusions.,warming exp,,root respiration,,J,"Mauritz, M; Celis, G; Ebert, C; Hutchings, J; Ledman, J; Natali, SM; Pegoraro, E; Salmon, VG; Schadel, C; Taylor, M; Schuur, EAG",,,,"Mauritz, M.; Celis, G.; Ebert, C.; Hutchings, J.; Ledman, J.; Natali, S. M.; Pegoraro, E.; Salmon, V. G.; Schadel, C.; Taylor, M.; Schuur, E. A. G.",,,Using Stable Carbon Isotopes of Seasonal Ecosystem Respiration to Determine Permafrost Carbon Loss,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,"High latitude warming and permafrost thaw will expose vast stores of deep soil organic carbon (SOC) to decomposition. Thaw also changes water movement causing either wetter or drier soil. The fate of deep SOC under different thaw and moisture conditions is unclear. We measured weekly growing-season delta C-13 of ecosystem respiration (Reco delta C-13) across thaw and moisture conditions (Shallow-Dry; Deep-Dry; Deep-Wet) in a soil warming manipulation. Deep SOC loss was inferred from known delta C-13 signatures of plant shoot, root, surface soil, and deep soil respiration. In addition, a 2-year-old vegetation removal treatment (No Veg) was used to isolate surface and deep SOC decomposition contributions to Reco. In No Veg, seasonal Reco delta C-13 indicated that deep SOC loss increased as the soil column thawed, while in vegetated areas, root contributions appeared to dominate Reco. The Reco delta C-13 differences between Shallow-Dry and Deep-Dry were significant but surprisingly small. This most likely suggests that, under dry conditions, soil warming stimulates root and surface SOC respiration with a negative C-13 signature that opposes the more positive C-13 signal from increased deep SOC respiration. In Deep-Wet conditions, Reco delta C-13 suggests reduced deep SOC loss but could also reflect altered diffusion or methane (CH4) dynamics. Together, these results demonstrate that frequent Reco delta C-13 measurements can detect deep SOC loss and that plants confound the signal. In future studies, soil profile delta C-13 measurements, vegetation removal across thaw gradients, and isotopic effects of CH4 dynamics could further deconvolute deep SOC loss via surface Reco.",,,,"Pegoraro, Elaine/AAY-2597-2020; Salmon, Verity G./AAY-8935-2020; Schadel, Christina/F-5948-2013","Pegoraro, Elaine/0000-0002-6865-8613; Salmon, Verity G./0000-0002-2188-551X; Schadel, Christina/0000-0003-2145-6210; Celis, Gerardo/0000-0003-1265-4063; Mauritz, Marguerite/0000-0001-8733-9119; Hutchings, Jack/0000-0003-3396-6787; Natali, Susan/0000-0002-3010-2994",,,,,,,,,,,,2169-8953,2169-8961,2169-8953,2169-8961,JAN,2019,124,1,46,60,,10.1029/2018JG004619,,,WOS:000458728400004
WOS2020,GB-W,n,n,n,n,n,NA,NA,ectomycorrhizal might not be related to colonization and doesn't contain other fine root traits,Not found,NA,Arctic AK,MY,fungal paper,experimental warming,,ectomycorrhizal ,,J,"Morgado, LN; Semenova, TA; Welker, JM; Walker, MD; Smets, E; Geml, J",,,,"Morgado, Luis N.; Semenova, Tatiana A.; Welker, Jeffrey M.; Walker, Marilyn D.; Smets, Erik; Geml, Jozsef",,,Summer temperature increase has distinct effects on the ectomycorrhizal fungal communities of moist tussock and dry tundra in Arctic Alaska,GLOBAL CHANGE BIOLOGY,"Arctic regions are experiencing the greatest rates of climate warming on the planet and marked changes have already been observed in terrestrial arctic ecosystems. While most studies have focused on the effects of warming on arctic vegetation and nutrient cycling, little is known about how belowground communities, such as fungi root-associated, respond to warming. Here, we investigate how long-term summer warming affects ectomycorrhizal (ECM) fungal communities. We used Ion Torrent sequencing of the rDNA internal transcribed spacer 2 (ITS2) region to compare ECM fungal communities in plots with and without long-term experimental warming in both dry and moist tussock tundra. Cortinarius was the most OTU-rich genus in the moist tundra, while the most diverse genus in the dry tundra was Tomentella. On the diversity level, in the moist tundra we found significant differences in community composition, and a sharp decrease in the richness of ECM fungi due to warming. On the functional level, our results indicate that warming induces shifts in the extramatrical properties of the communities, where the species with medium-distance exploration type seem to be favored with potential implications for the mobilization of different nutrient pools in the soil. In the dry tundra, neither community richness nor community composition was significantly altered by warming, similar to what had been observed in ECM host plants. There was, however, a marginally significant increase in OTUs identified as ECM fungi with the medium-distance exploration type in the warmed plots. Linking our findings of decreasing richness with previous results of increasing ECM fungal biomass suggests that certain ECM species are favored by warming and may become more abundant, while many other species may go locally extinct due to direct or indirect effects of warming. Such compositional shifts in the community might affect nutrient cycling and soil organic C storage.",,,,"Smets, Erik F/A-9875-2011; Geml, Jozsef/C-2223-2018; Geml, Jozsef/AAW-9993-2020","Smets, Erik F/0000-0002-9416-983X; Geml, Jozsef/0000-0001-8745-0423; ",,,,,,,,,,,,1354-1013,1365-2486,1354-1013,1365-2486,FEB,2015,21,2,959,972,,10.1111/gcb.12716,,,WOS:000348652400037
WOS2020,RL,n,n,y,y,n,complete,"PlotDigitizer: Fig 1, 2
ChatGPT: Table 2, 5, 7","all ancillary data - 15N, soil N, etc.",Not found,NA,betsele gradient,MY,Boreal forest; How roots of different plant sp take up different forms of N,,,,,J,"Nordin, A; Hogberg, P; Nasholm, T",,,,"Nordin, A; Hogberg, P; Nasholm, T",,,Soil nitrogen form and plant nitrogen uptake along a boreal forest productivity gradient,OECOLOGIA,"We present results from a study of soil solution concentrations of ammonium (NH4+), nitrate (NO3-), and amino acid N over one growing season along a local 90-m-long plant productivity gradient in a boreal forest. Three forest types are found along the gradient: an ericaceous dwarf-shrub type between 0 and 40 m, a low-herb type between 40 and 80 m, and a tall-herb type at 90 m. Soil sampling of the mor layer was performed in June, July, August and October in the three forest types. In addition, plant uptake of NH4+, NO3- and the amino acid glycine was investigated. A mixture of the three N forms was injected into the soil; one N form at a time was labeled with N-15, and in the case of glycine also with C-13. In the dwarf-shrub forest, where plant productivity was low, the soil N pool was strongly dominated by amino acid N. There, plants took up more NH4+ than NO3-. Glycine uptake did not differ significantly from either NH4+ or NO3- uptake. Along the gradient, soil concentrations of NH4+ and NO3- increased, as did plant productivity. In the low-herb forest NH4+ comprised a major portion of the soil N pool, and plants took up more NH4+ than NO3- or glycine. In the tall-herb forest, NO3- was as abundant as NH4+, and together these two N forms dominated the soil N pool. Here, plants took up nearly equal amounts of NO3- and NH4+, and this uptake exceeded that of glycine severalfold. Apart from the overall preference for NH4+ that plants exhibited throughout the gradient, the results show a correlation between soil concentrations of amino acids and NO3- and plant preferences for these N forms.",,,,"Hogberg, Peter/B-2916-2012","Hogberg, Peter/0000-0002-2849-2719; Nasholm, Torgny/0000-0002-2275-2030",,,,,,,,,,,,0029-8549,,0029-8549,,SEP,2001,129,1,125,132,,10.1007/s004420100698,,,WOS:000171325500013
WOS2020,MK,n,n,y,y,n,complete,"PlotDigitizer: Fig 2, 3
ChatGPT: Table 1",root delta 14 C not in FRED,Not found,NA,Arctic AK,MY,vertical distribution and dynamics of fine roots,,,root biomass,,J,"Nowinski, NS; Trumbore, SE; Schuur, EAG; Mack, MC; Shaver, GR",,,,"Nowinski, Nicole S.; Trumbore, Susan E.; Schuur, Edward A. G.; Mack, Michelle C.; Shaver, Gaius R.",,,Nutrient addition prompts rapid destabilization of organic matter in an arctic tundra ecosystem,ECOSYSTEMS,"Nutrient availability in the arctic is expected to increase in the next century due to accelerated decomposition associated with warming and, to a lesser extent, increased nitrogen deposition. To explore how changes in nutrient availability affect ecosystem carbon (C) cycling, we used radiocarbon to quantify changes in belowground C dynamics associated with long-term fertilization of graminoid-dominated tussock tundra at Toolik Lake, Alaska. Since 1981, yearly fertilization with nitrogen (N) and phosphorus (P) has resulted in a shift to shrub-dominated vegetation. These combined changes have altered the quantity and quality of litter inputs, the vertical distribution and dynamics of fine roots, and the decomposition rate of soil organic C. The loss of C from the deep organic and mineral soil has more than offset the C accumulation in the litter and upper organic soil horizons. In the litter and upper organic horizons, radiocarbon measurements show that increased inputs resulted in overall C accumulation, despite being offset by increased decomposition in some soil pools. To reconcile radiocarbon observations in the deeper organic and mineral soil layers, where most of the ecosystem C loss occurred, both a decrease in input of new root material and a dramatic increase of decomposition rates in centuries-old soil C pools were required. Therefore, with future increases in nutrient availability, we may expect substantial losses of C which took centuries to accumulate.",,,,"Trumbore, Susan/B-1948-2013",,,,,,,,,,,,,1432-9840,1435-0629,1432-9840,1435-0629,FEB,2008,11,1,16,25,,10.1007/s10021-007-9104-1,,,WOS:000253359600003
